brand,sales,price,feat,modePrice,discount
dominicks,6464,1.58,0,1.58,0
dominicks,83840.00004,1.39,1,1.58,1
dominicks,6592,2.09,0,1.58,0
dominicks,12160,1.58,0,1.58,0
dominicks,175360,0.99,1,1.58,1
dominicks,8000,1.79,0,1.58,0
dominicks,8192,1.59,0,1.58,0
dominicks,448,1.89,0,1.58,0
dominicks,93248.00004,0.89,1,1.58,1
dominicks,4736,1.89,0,1.58,0
dominicks,3968,1.58,0,1.58,0
dominicks,3904,1.79,0,1.58,0
dominicks,20032,1.59,1,1.58,0
dominicks,2816,1.58,0,1.58,0
dominicks,6720,1.58,0,1.58,0
dominicks,2048,1.79,0,1.58,0
dominicks,8000,1.89,0,1.58,0
dominicks,45247.99999,1.59,1,1.58,0
dominicks,5120,1.89,0,1.58,0
dominicks,46911.99999,1.79,1,1.58,0
dominicks,29888,1.49,0,1.58,1
dominicks,28480.00001,0.99,0,1.58,1
dominicks,10752,1.58,0,1.58,0
dominicks,20992,1.74,0,1.58,0
dominicks,11648,1.58,1,1.58,0
dominicks,53823.99998,1.39,1,1.58,1
dominicks,6784,1.59,0,1.58,0
dominicks,49792.00002,2.29,1,1.58,0
dominicks,12032,1.89,0,1.58,0
dominicks,7808,1.59,1,1.58,0
dominicks,6912,1.58,0,1.58,0
dominicks,6784,2.09,1,1.58,0
dominicks,29119.99999,1.69,0,1.58,0
dominicks,24896,1.79,0,1.58,0
dominicks,6720,1.58,0,1.58,0
dominicks,21824,1.58,1,1.58,0
dominicks,14016,1.69,1,1.58,0
dominicks,11072,1.39,0,1.58,1
dominicks,10752,1.58,0,1.58,0
dominicks,6144,1.79,0,1.58,0
dominicks,5504,1.58,0,1.58,0
dominicks,4544,1.58,0,1.58,0
dominicks,11584,1.89,0,1.58,0
dominicks,1280,2.49,0,1.58,0
dominicks,18624,1.59,1,1.58,0
dominicks,33280,1.58,1,1.58,0
dominicks,7744,1.69,0,1.58,0
dominicks,7552,1.89,0,1.58,0
dominicks,4992,2.05,0,1.58,0
dominicks,1984,1.59,0,1.58,0
dominicks,60800,1.58,0,1.58,0
dominicks,8128,1.39,0,1.58,1
dominicks,9024,1.58,0,1.58,0
dominicks,1024,2.19,0,1.58,0
dominicks,896,2.69,0,1.58,0
dominicks,26496,1.58,1,1.58,0
dominicks,12672,1.58,0,1.58,0
dominicks,34688.00001,1.59,1,1.58,0
dominicks,14656,1.59,1,1.58,0
dominicks,12288,1.89,0,1.58,0
dominicks,8256,1.89,0,1.58,0
dominicks,15872,1.39,0,1.58,1
dominicks,9280,1.89,0,1.58,0
dominicks,5440,1.59,1,1.58,0
dominicks,3520,1.79,0,1.58,0
dominicks,6656,1.58,0,1.58,0
dominicks,4224,1.58,0,1.58,0
dominicks,1152,2.29,0,1.58,0
dominicks,2688,1.89,0,1.58,0
dominicks,16704,1.89,0,1.58,0
dominicks,17280,1.58,0,1.58,0
dominicks,16320,1.58,0,1.58,0
dominicks,48959.99999,1.58,1,1.58,0
dominicks,11392,1.79,1,1.58,0
dominicks,3712,2.09,0,1.58,0
dominicks,7616,1.39,0,1.58,1
dominicks,896,2.69,0,1.58,0
dominicks,5440,1.89,0,1.58,0
dominicks,12736,1.69,0,1.58,0
dominicks,21632,1.29,0,1.58,1
dominicks,9600,2,0,1.58,0
dominicks,43520.00002,0.99,0,1.58,1
dominicks,2624,2.29,0,1.58,0
dominicks,45568.00001,1.69,0,1.58,0
dominicks,6976,1.7,0,1.58,0
dominicks,18240,1.59,0,1.58,0
dominicks,4736,1.59,0,1.58,0
dominicks,1088,1.58,0,1.58,0
dominicks,3072,1.79,0,1.58,0
dominicks,32640,0.99,0,1.58,1
dominicks,13120,1.32,0,1.58,1
dominicks,9664,1.58,0,1.58,0
dominicks,1728,2.19,0,1.58,0
dominicks,4480,1.89,1,1.58,0
dominicks,2688,2.09,0,1.58,0
dominicks,37567.99999,1,0,1.58,1
dominicks,4864,1.59,0,1.58,0
dominicks,11840,1.69,0,1.58,0
dominicks,1984,2.09,0,1.58,0
dominicks,1856,1.99,0,1.58,0
dominicks,9344,1.32,0,1.58,1
dominicks,51456.00002,1.29,1,1.58,1
dominicks,9344,1.58,0,1.58,0
dominicks,5376,1.92,0,1.58,0
dominicks,9152,1.39,0,1.58,1
dominicks,45568.00001,1.58,0,1.58,0
dominicks,45119.99999,1.29,0,1.58,1
dominicks,4736,1.58,0,1.58,0
dominicks,896,2.29,0,1.58,0
dominicks,15936,1.49,0,1.58,1
dominicks,22848,1.58,1,1.58,0
